sample_idx,dataset,stage,image_id,base_dice,base_iou,failure70,failure80,severe50,sprc_cb_score,sprc_pp_r_score,sam_confidence_risk,mask_iou_disagreement,linear_sprc_score
103,Kvasir-SEG,stage1_id,cju6yxyt0wh080871sqpepu47,0.9131711222810568,0.8402161011747062,0,0,0,0.5129166666666667,0.6268518518518519,-0.9638934135437012,0.0253443369692323,-0.1579322867237828
104,Kvasir-SEG,stage1_id,cju6z600qwh4z081700qimgl9,0.9062647834020726,0.8285961443401949,0,0,0,0.3951388888888889,0.5461111111111112,-0.9783062934875488,0.0085394646740312,-0.1174916303336872
105,Kvasir-SEG,stage1_id,cju76l27oyrw907551ri2a7fl,0.93429341226473,0.8766891591148046,0,0,0,0.92375,0.9183333333333332,-0.835148811340332,0.1258091644255971,1.3242998122030163
106,Kvasir-SEG,stage1_id,cju772304yw5t0818vbw8kkjf,0.9243668381480202,0.8593699701081355,0,0,0,0.6844444444444444,0.7037037037037037,-0.9573029279708862,0.0661103112489573,-0.0034432711874439
107,Kvasir-SEG,stage1_id,cju7ae7bq1f820987toc8si1d,0.8832385765424915,0.7908928066373235,0,0,0,0.4388888888888889,0.5312962962962963,-0.9767503142356871,0.0238702854102503,0.0108010683129113
108,Kvasir-SEG,stage1_id,cju7alcgr1lsr0871riqk84z7,0.9030814309173611,0.823289400299462,0,0,0,0.6626388888888889,0.6783333333333333,-0.956798493862152,0.0542451984676602,0.0873201887123858
109,Kvasir-SEG,stage1_id,cju7amjna1ly40871ugiokehb,0.8753822459320244,0.7783820260400567,0,0,0,0.5806944444444444,0.7961111111111111,-0.9705764055252076,0.0973866026485198,0.3768306316633935
110,Kvasir-SEG,stage1_id,cju7bb3ss1uoo0755pmhyco7t,0.925182422571761,0.8607808822642244,0,0,0,0.6188888888888888,0.6749999999999999,-0.9621658325195312,0.0735893656717295,0.0962979811016447
111,Kvasir-SEG,stage1_id,cju7bd1qu1mx409877xjxibox,0.9183227859812888,0.848980429724973,0,0,0,0.3766666666666666,0.4764814814814815,-0.9788474440574646,0.0065160428418248,-0.1671203693120444
112,Kvasir-SEG,stage1_id,cju7ctvqn25dy08186g442m1r,0.9318483220571454,0.8723932577176675,0,0,0,0.3680555555555555,0.4864814814814814,-0.9756860733032228,0.0154953607750782,-0.1150743114400788
113,Kvasir-SEG,stage1_id,cju7d6ux323ze0987xos3srkx,0.9300005746135752,0.8691598822847171,0,0,0,0.7036111111111111,0.7322222222222221,-0.9622231125831604,0.0240858866434199,0.2071751220380267
114,Kvasir-SEG,stage1_id,cju7dbppn28nx085097654msi,0.9603340292275594,0.9236947791164732,0,0,0,0.5604166666666667,0.5794444444444444,-0.9516417384147644,0.0289325165610874,0.1864567752982852
115,Kvasir-SEG,stage1_id,cju7ea4om2l910801bohqjccy,0.937174975048606,0.8817772945189137,0,0,0,0.2905555555555555,0.3044444444444444,-0.9793386459350586,0.0053370277783629,-0.2963748730787063
116,Kvasir-SEG,stage1_id,cju7eea9b2m0z0801ynqv1fqu,0.1603903165169317,0.0871871451629141,1,1,1,0.9188888888888888,0.9244444444444444,-0.8790568709373474,0.0706029924576003,1.5187934898871822
117,Kvasir-SEG,stage1_id,cju7emdni2py40871ivhxjtut,0.9450107052220011,0.8957538336167327,0,0,0,0.7922222222222223,0.7948148148148149,-0.9352946281433104,0.1032753959624416,0.5452140011788411
118,Kvasir-SEG,stage1_id,cju7eotqi2qea0871y8yc7tqh,0.8975529431805067,0.8141460740708107,0,0,0,0.9325,0.9403703703703704,-0.7290953397750854,0.3214344039708527,3.598334772826521
119,Kvasir-SEG,stage1_id,cju7evxt12m730987rxivne3x,0.7116970057287488,0.5524298312535916,0,1,0,0.7849999999999999,0.8533333333333332,-0.954245924949646,0.0307374586714239,0.9507169874441468
120,Kvasir-SEG,stage1_id,cju7fazv92ywx0755xov2erga,0.6413719032360862,0.4720731926299562,1,1,0,0.9179166666666668,0.9105555555555556,-0.8553420901298523,0.060090690391988,0.7157124213407614
121,Kvasir-SEG,stage1_id,cju7flevb2wii08188otgs9p2,0.9059681046292248,0.8281002669690809,0,0,0,0.8300000000000001,0.8714814814814815,-0.9466844201087952,0.0705807824447122,1.2608572178523094
122,Kvasir-SEG,stage1_id,cju7fmvpk2q170987v6i3ola8,0.944104585277789,0.8941269865502505,0,0,0,0.6038888888888889,0.6125925925925927,-0.9590064883232116,0.0469967400839712,0.1656498644429106
123,Kvasir-SEG,stage1_id,cju84jdl9kv0i0871eog9b3i9,0.9449364922804412,0.8956204866973867,0,0,0,0.3834722222222222,0.5868518518518518,-0.9786977171897888,0.034151838984433,0.1328392121273182
124,Kvasir-SEG,stage1_id,cju8567gdlcbq0801dwwyo2jt,0.5665269543984328,0.3952128406856123,1,1,0,0.7959722222222223,0.8372222222222222,-0.8509534001350403,0.0719606268873535,2.1055321057074923
