eval_group,set,target,method,n,pos,auprc,auroc,failure_rate,mean_dice,noise,diff_vs_sam_auprc,diff_ci_low,diff_ci_high,diff_p
noise=0.00,CVC-ColonDB,failure80,SPRC no-conf top2,150,12,0.2614150778124307,0.7370169082125604,0.08,0.8936195080922801,0.0,,,,
noise=0.00,ETIS-Larib,failure80,SPRC-CB,150,7,0.7738095238095237,0.9660339660339661,0.04666666666666667,0.9116012223285692,0.0,,,,
noise=0.00,ETIS-Larib,failure80,SAM IoU min,150,7,0.7423469387755102,0.981018981018981,0.04666666666666667,0.9116012223285692,0.0,,,,
noise=0.00,ETIS-Larib,failure80,Prompt-pert. unc.,150,7,0.7441568511612451,0.887112887112887,0.04666666666666667,0.9116012223285692,0.0,,,,
noise=0.00,ETIS-Larib,failure80,Mask IoU disag.,150,7,0.744467860906217,0.8881118881118881,0.04666666666666667,0.9116012223285692,0.0,,,,
noise=0.00,ETIS-Larib,failure80,SPRC no-conf top2,150,7,0.6222766304733518,0.8686313686313686,0.04666666666666667,0.9116012223285692,0.0,,,,
noise=0.00,Kvasir-SEG,failure80,SPRC-CB,75,9,0.6686347603014269,0.941077441077441,0.12,0.8607262059110043,0.0,,,,
noise=0.00,Kvasir-SEG,failure80,SAM IoU min,75,9,0.5919810209283894,0.9276094276094276,0.12,0.8607262059110043,0.0,,,,
noise=0.00,Kvasir-SEG,failure80,Prompt-pert. unc.,75,9,0.46668552943062747,0.9057239057239057,0.12,0.8607262059110043,0.0,,,,
noise=0.00,Kvasir-SEG,failure80,Mask IoU disag.,75,9,0.4600769600769601,0.9057239057239057,0.12,0.8607262059110043,0.0,,,,
noise=0.00,Kvasir-SEG,failure80,SPRC no-conf top2,75,9,0.6935273368606703,0.936026936026936,0.12,0.8607262059110043,0.0,,,,
noise=0.00,pooled_heldout,severe_failure,SPRC-CB,525,11,0.3167441697902099,0.9501238061549345,0.02095238095238095,0.8926362754857672,0.0,0.11780821629706666,-0.006326124233495898,0.2733892487578116,0.062
noise=0.00,pooled_heldout,severe_failure,SAM IoU min,525,11,0.2110000547406919,0.9278386982667137,0.02095238095238095,0.8926362754857672,0.0,,,,
noise=0.00,pooled_heldout,severe_failure,Prompt-pert. unc.,525,11,0.258785637550096,0.9184648036788114,0.02095238095238095,0.8926362754857672,0.0,,,,
